DS1000 Dynamic NDArray Review List
================================
Total reviewed cases: 73
Static-NDArray cases detected: 70
Recommended for dynamic conversion: 36 (49.3% of all cases)
Keep static for now: 37

Review method: inspected each case folder (caseXXX/sol.py) and paired with official DS-1000 prompt text.
Decision policy: prioritize static-NDArray tasks with stronger shape/reshape/slicing dependence.

=== RECOMMENDED: CONVERT TO DYNAMIC NDARRAY ===
case296 | static_ndarray=yes | score=02 | Let's say I have a 1d numpy positive integer array like this
case390 | static_ndarray=yes | score=00 | I have a 2-d numpy array as follows:
case391 | static_ndarray=yes | score=00 | I have an array :
case392 | static_ndarray=yes | score=00 | I have an array :
case406 | static_ndarray=yes | score=01 | I'm looking for a fast solution to compute maximum of the elements of an array which belong to the same index. An example:
case407 | static_ndarray=yes | score=00 | I'm looking for a fast solution to MATLAB's accumarray in numpy. The accumarray accumulates the elements of an array which belong to the ...
case409 | static_ndarray=yes | score=00 | I have two input arrays x and y of the same shape. I need to run each of their elements with matching indices through a function, then st...
case420 | static_ndarray=no | score=02 | The clamp function is clamp(x, min, max) = min if x < min, max if x > max, else x
case428 | static_ndarray=yes | score=01 | Say, I have an array:
case429 | static_ndarray=yes | score=01 | Say, I have an array:
case430 | static_ndarray=yes | score=01 | Say, I have an array:
case431 | static_ndarray=yes | score=01 | Say, I have an array:
case433 | static_ndarray=yes | score=00 | I have a 2D array `a` to represent a many-many mapping :
case434 | static_ndarray=yes | score=00 | I have a 2D array `a` to represent a many-many mapping :
case435 | static_ndarray=yes | score=00 | I have a 2D array `a` to represent a many-many mapping :
case438 | static_ndarray=yes | score=01 | I'm trying to calculate the Pearson correlation coefficient of two variables. These variables are to determine if there is a relationship...
case441 | static_ndarray=yes | score=00 | I just want to check if a numpy array contains a single number quickly similar to contains for a list. Is there a concise way to do this?
case459 | static_ndarray=yes | score=02 | I want to be able to calculate the mean of A:
case480 | static_ndarray=yes | score=00 | I have two numpy arrays x and y
case501 | static_ndarray=yes | score=01 | I have two arrays:
case507 | static_ndarray=yes | score=00 | I want to process a gray image in the form of np.array.
